Entity,Code,Day,daily_vaccinations
GA,GEO,2021-05-08,50559
GA,GEO,2021-05-09,48459
GA,GEO,2021-05-10,53758
GA,GEO,2021-05-11,51874
GA,GEO,2021-05-12,51312
GA,GEO,2021-05-13,58303
GA,GEO,2021-05-14,46235
GA,GEO,2021-05-15,44683
GU,GUM,2021-01-13,0
GU,GUM,2021-01-14,0
GU,GUM,2021-01-15,0
GU,GUM,2021-01-16,0
GU,GUM,2021-01-17,0
GU,GUM,2021-01-18,0
GU,GUM,2021-01-19,0
GU,GUM,2021-01-20,0
GU,GUM,2021-01-21,0
GU,GUM,2021-01-22,0
GU,GUM,2021-01-23,0
GU,GUM,2021-01-24,0
GU,GUM,2021-01-25,0
GU,GUM,2021-01-26,1931
GU,GUM,2021-01-27,2067
GU,GUM,2021-01-28,2247
GU,GUM,2021-01-29,2495
GU,GUM,2021-01-30,2666
GU,GUM,2021-01-31,2666
GU,GUM,2021-02-01,2808
GU,GUM,2021-02-02,1072
GU,GUM,2021-02-03,1115
GU,GUM,2021-02-04,935
GU,GUM,2021-02-05,874
GU,GUM,2021-02-06,929
GU,GUM,2021-02-07,1017
GU,GUM,2021-02-08,896
GU,GUM,2021-02-09,873
GU,GUM,2021-02-10,911
GU,GUM,2021-02-11,1132
GU,GUM,2021-02-12,1221
GU,GUM,2021-02-13,1256
GU,GUM,2021-02-14,1293
GU,GUM,2021-02-15,1335
GU,GUM,2021-02-16,1226
GU,GUM,2021-02-17,1223
GU,GUM,2021-02-18,1240
GU,GUM,2021-02-19,1569
GU,GUM,2021-02-20,1520
GU,GUM,2021-02-21,1408
GU,GUM,2021-02-22,1503
GU,GUM,2021-02-23,1571
GU,GUM,2021-02-24,1501
GU,GUM,2021-02-25,1427
GU,GUM,2021-02-26,829
GU,GUM,2021-02-27,837
GU,GUM,2021-02-28,962
GU,GUM,2021-03-01,810
GU,GUM,2021-03-02,700
GU,GUM,2021-03-03,560
GU,GUM,2021-03-04,496
GU,GUM,2021-03-05,529
GU,GUM,2021-03-06,319
GU,GUM,2021-03-07,182
GU,GUM,2021-03-08,190
GU,GUM,2021-03-09,428
GU,GUM,2021-03-10,706
GU,GUM,2021-03-11,847
GU,GUM,2021-03-12,1041
GU,GUM,2021-03-13,1272
GU,GUM,2021-03-14,1433
GU,GUM,2021-03-15,1431
GU,GUM,2021-03-16,1241
GU,GUM,2021-03-17,1153
GU,GUM,2021-03-18,1142
GU,GUM,2021-03-19,1178
GU,GUM,2021-03-20,955
GU,GUM,2021-03-21,797
GU,GUM,2021-03-22,1052
GU,GUM,2021-03-23,1235
GU,GUM,2021-03-24,1312
GU,GUM,2021-03-25,1328
GU,GUM,2021-03-26,1351
GU,GUM,2021-03-27,1369
GU,GUM,2021-03-28,1582
GU,GUM,2021-03-29,1561
GU,GUM,2021-03-30,1326
GU,GUM,2021-03-31,1415
GU,GUM,2021-04-01,1320
GU,GUM,2021-04-02,1245
GU,GUM,2021-04-03,1426
GU,GUM,2021-04-04,1220
GU,GUM,2021-04-05,1000
GU,GUM,2021-04-06,994
GU,GUM,2021-04-07,1135
GU,GUM,2021-04-08,1228
GU,GUM,2021-04-09,1275
GU,GUM,2021-04-10,1088
GU,GUM,2021-04-11,1214
GU,GUM,2021-04-12,1197
GU,GUM,2021-04-13,1625
GU,GUM,2021-04-14,1430
GU,GUM,2021-04-15,1501
GU,GUM,2021-04-16,1450
GU,GUM,2021-04-17,1747
GU,GUM,2021-04-18,1611
GU,GUM,2021-04-19,1834
GU,GUM,2021-04-20,1643
GU,GUM,2021-04-21,1662
GU,GUM,2021-04-22,1616
GU,GUM,2021-04-23,1649
GU,GUM,2021-04-24,1538
GU,GUM,2021-04-25,1551
GU,GUM,2021-04-26,1482
GU,GUM,2021-04-27,1437
GU,GUM,2021-04-28,1314
GU,GUM,2021-04-29,1382
GU,GUM,2021-04-30,1393
GU,GUM,2021-05-01,1191
GU,GUM,2021-05-02,1368
GU,GUM,2021-05-03,1374
GU,GUM,2021-05-04,1303
GU,GUM,2021-05-05,1114
GU,GUM,2021-05-06,790
GU,GUM,2021-05-07,1235
GU,GUM,2021-05-08,1409
GU,GUM,2021-05-09,1295
GU,GUM,2021-05-10,1143
GU,GUM,2021-05-11,1015
GU,GUM,2021-05-12,1015
GU,GUM,2021-05-13,1623
GU,GUM,2021-05-14,935
GU,GUM,2021-05-15,755
HI,,2021-01-13,3122
HI,,2021-01-14,7251
HI,,2021-01-15,4492
HI,,2021-01-16,4431
HI,,2021-01-17,4395
HI,,2021-01-18,4370
HI,,2021-01-19,4353
HI,,2021-01-20,5048
HI,,2021-01-21,4490
HI,,2021-01-22,5405
HI,,2021-01-23,4798
HI,,2021-01-24,4191
HI,,2021-01-25,4627
HI,,2021-01-26,4258
HI,,2021-01-27,3678
HI,,2021-01-28,3504
HI,,2021-01-29,3767
HI,,2021-01-30,5101
HI,,2021-01-31,6354
HI,,2021-02-01,6249
HI,,2021-02-02,6308
HI,,2021-02-03,6571
HI,,2021-02-04,6738
HI,,2021-02-05,8364
HI,,2021-02-06,8365
HI,,2021-02-07,8254
HI,,2021-02-08,8314
HI,,2021-02-09,8017
HI,,2021-02-10,7193
HI,,2021-02-11,7073
HI,,2021-02-12,5585
HI,,2021-02-13,5532
HI,,2021-02-14,5449
HI,,2021-02-15,5306
HI,,2021-02-16,6162
HI,,2021-02-17,6669
HI,,2021-02-18,6682
HI,,2021-02-19,13223
HI,,2021-02-20,13564
HI,,2021-02-21,13968
HI,,2021-02-22,14306
HI,,2021-02-23,13775
HI,,2021-02-24,14151
HI,,2021-02-25,14501
HI,,2021-02-26,8248
HI,,2021-02-27,8288
HI,,2021-02-28,8547
HI,,2021-03-01,8332
HI,,2021-03-02,8453
HI,,2021-03-03,8489
HI,,2021-03-04,8910
HI,,2021-03-05,8984
HI,,2021-03-06,9085
HI,,2021-03-07,7605
HI,,2021-03-08,9049
HI,,2021-03-09,10190
HI,,2021-03-10,10952
HI,,2021-03-11,11146
HI,,2021-03-12,11641
HI,,2021-03-13,11817
HI,,2021-03-14,13143
HI,,2021-03-15,12178
HI,,2021-03-16,11718
HI,,2021-03-17,11894
HI,,2021-03-18,11919
HI,,2021-03-19,11998
HI,,2021-03-20,11797
HI,,2021-03-21,11783
HI,,2021-03-22,10853
HI,,2021-03-23,10800
HI,,2021-03-24,10424
HI,,2021-03-25,9989
HI,,2021-03-26,10306
HI,,2021-03-27,8751
HI,,2021-03-28,7371
HI,,2021-03-29,10179
HI,,2021-03-30,10141
HI,,2021-03-31,10497
HI,,2021-04-01,10735
HI,,2021-04-02,10361
HI,,2021-04-03,11625
HI,,2021-04-04,13645
HI,,2021-04-05,11187
HI,,2021-04-06,11168
HI,,2021-04-07,11236
HI,,2021-04-08,11593
HI,,2021-04-09,12049
HI,,2021-04-10,10791
HI,,2021-04-11,11027
HI,,2021-04-12,12837
HI,,2021-04-13,13327
HI,,2021-04-14,13885
HI,,2021-04-15,13747
HI,,2021-04-16,13592
HI,,2021-04-17,15152
HI,,2021-04-18,14637
HI,,2021-04-19,12779
HI,,2021-04-20,30225
HI,,2021-04-21,29677
HI,,2021-04-22,29961
HI,,2021-04-23,29523
HI,,2021-04-24,30289
HI,,2021-04-25,31217
HI,,2021-04-26,32029
HI,,2021-04-27,14920
HI,,2021-04-28,15122
HI,,2021-04-29,14898
HI,,2021-04-30,15272
HI,,2021-05-01,14844
HI,,2021-05-02,13790
HI,,2021-05-03,12918
HI,,2021-05-04,11369
HI,,2021-05-05,9875
HI,,2021-05-06,7909
HI,,2021-05-07,20612
HI,,2021-05-08,19562
HI,,2021-05-09,19110
HI,,2021-05-10,18343
HI,,2021-05-11,19318
HI,,2021-05-12,19338
HI,,2021-05-13,21231
HI,,2021-05-14,7403
HI,,2021-05-15,9763
ID,,2021-01-13,3027
ID,,2021-01-14,3370
ID,,2021-01-15,3597
ID,,2021-01-16,3781
ID,,2021-01-17,3892
ID,,2021-01-18,3966
ID,,2021-01-19,4019
ID,,2021-01-20,4342
ID,,2021-01-21,4398
ID,,2021-01-22,4479
ID,,2021-01-23,4524
ID,,2021-01-24,4546
ID,,2021-01-25,4519
ID,,2021-01-26,4256
ID,,2021-01-27,3961
ID,,2021-01-28,4204
ID,,2021-01-29,4412
ID,,2021-01-30,4584
ID,,2021-01-31,4822
ID,,2021-02-01,4729
ID,,2021-02-02,4697
ID,,2021-02-03,5056
ID,,2021-02-04,5585
ID,,2021-02-05,7217
ID,,2021-02-06,8784
ID,,2021-02-07,9257
ID,,2021-02-08,10173
ID,,2021-02-09,10311
ID,,2021-02-10,10428
ID,,2021-02-11,10309
ID,,2021-02-12,7810
ID,,2021-02-13,6481
ID,,2021-02-14,8088
ID,,2021-02-15,8196
ID,,2021-02-16,9257
ID,,2021-02-17,9256
ID,,2021-02-18,9202
ID,,2021-02-19,12941
ID,,2021-02-20,13126
ID,,2021-02-21,12006
ID,,2021-02-22,11898
ID,,2021-02-23,10974
ID,,2021-02-24,10909
ID,,2021-02-25,11216
ID,,2021-02-26,8924
ID,,2021-02-27,9276
ID,,2021-02-28,9433
ID,,2021-03-01,9715
ID,,2021-03-02,9885
ID,,2021-03-03,10346
ID,,2021-03-04,10173
ID,,2021-03-05,10768
ID,,2021-03-06,11290
ID,,2021-03-07,11239
ID,,2021-03-08,11146
ID,,2021-03-09,11368
ID,,2021-03-10,11225
ID,,2021-03-11,11396
ID,,2021-03-12,11431
ID,,2021-03-13,11251
ID,,2021-03-14,11304
ID,,2021-03-15,11055
ID,,2021-03-16,10980
ID,,2021-03-17,9892
ID,,2021-03-18,11219
ID,,2021-03-19,11505
ID,,2021-03-20,12307
ID,,2021-03-21,12776
ID,,2021-03-22,12968
ID,,2021-03-23,12979
ID,,2021-03-24,14230
ID,,2021-03-25,13179
ID,,2021-03-26,13121
ID,,2021-03-27,12648
ID,,2021-03-28,12634
ID,,2021-03-29,12358
ID,,2021-03-30,12002
ID,,2021-03-31,12282
ID,,2021-04-01,12565
ID,,2021-04-02,12527
ID,,2021-04-03,12716
ID,,2021-04-04,12740
ID,,2021-04-05,12816
ID,,2021-04-06,12553
ID,,2021-04-07,12809
ID,,2021-04-08,12618
ID,,2021-04-09,12949
ID,,2021-04-10,12854
ID,,2021-04-11,13251
ID,,2021-04-12,13389
ID,,2021-04-13,13740
ID,,2021-04-14,10747
ID,,2021-04-15,10592
ID,,2021-04-16,10163
ID,,2021-04-17,9894
ID,,2021-04-18,9230
ID,,2021-04-19,8700
ID,,2021-04-20,8553
ID,,2021-04-21,10991
ID,,2021-04-22,10712
ID,,2021-04-23,10436
ID,,2021-04-24,10070
ID,,2021-04-25,9815
ID,,2021-04-26,9645
ID,,2021-04-27,9454
ID,,2021-04-28,9253
ID,,2021-04-29,8970
ID,,2021-04-30,8450
ID,,2021-05-01,8226
ID,,2021-05-02,7948
ID,,2021-05-03,7517
ID,,2021-05-04,7412
ID,,2021-05-05,7094
ID,,2021-05-06,7106
ID,,2021-05-07,6937
ID,,2021-05-08,6436
ID,,2021-05-09,4779
ID,,2021-05-10,4431
ID,,2021-05-11,6751
ID,,2021-05-12,6604
ID,,2021-05-13,6195
ID,,2021-05-14,5959
ID,,2021-05-15,5742
IL,,2021-01-13,18854
IL,,2021-01-14,28330
IL,,2021-01-15,30253
IL,,2021-01-16,28158
IL,,2021-01-17,26902
IL,,2021-01-18,26064
IL,,2021-01-19,25465
IL,,2021-01-20,24867
IL,,2021-01-21,23837
IL,,2021-01-22,24248
IL,,2021-01-23,27873
IL,,2021-01-24,31080
IL,,2021-01-25,31402
IL,,2021-01-26,30390
IL,,2021-01-27,32390
IL,,2021-01-28,36114
IL,,2021-01-29,39571
IL,,2021-01-30,42007
IL,,2021-01-31,44626
IL,,2021-02-01,47373
IL,,2021-02-02,47870
IL,,2021-02-03,48845
IL,,2021-02-04,50721
IL,,2021-02-05,51860
IL,,2021-02-06,54451
IL,,2021-02-07,55733
IL,,2021-02-08,57554
IL,,2021-02-09,57815
IL,,2021-02-10,61601
IL,,2021-02-11,60923
IL,,2021-02-12,61067
IL,,2021-02-13,63229
IL,,2021-02-14,64663
IL,,2021-02-15,63802
IL,,2021-02-16,68086
IL,,2021-02-17,65188
IL,,2021-02-18,61794
IL,,2021-02-19,71364
IL,,2021-02-20,69845
IL,,2021-02-21,69331
IL,,2021-02-22,64299
IL,,2021-02-23,65950
IL,,2021-02-24,66469
IL,,2021-02-25,68866
IL,,2021-02-26,66470
IL,,2021-02-27,67681
IL,,2021-02-28,69238
IL,,2021-03-01,78880
IL,,2021-03-02,77559
IL,,2021-03-03,80143
IL,,2021-03-04,84036
IL,,2021-03-05,80655
IL,,2021-03-06,86539
IL,,2021-03-07,92781
IL,,2021-03-08,95036
IL,,2021-03-09,91731
IL,,2021-03-10,92887
IL,,2021-03-11,95719
IL,,2021-03-12,102980
IL,,2021-03-13,122334
IL,,2021-03-14,103399
IL,,2021-03-15,103731
IL,,2021-03-16,111141
IL,,2021-03-17,113886
IL,,2021-03-18,115254
IL,,2021-03-19,108299
IL,,2021-03-20,89843
IL,,2021-03-21,109046
IL,,2021-03-22,107637
IL,,2021-03-23,102520
IL,,2021-03-24,101097
IL,,2021-03-25,100477
IL,,2021-03-26,104130
IL,,2021-03-27,102279
IL,,2021-03-28,103031
IL,,2021-03-29,106066
IL,,2021-03-30,106713
IL,,2021-03-31,107916
IL,,2021-04-01,112224
IL,,2021-04-02,111421
IL,,2021-04-03,114094
IL,,2021-04-04,115209
IL,,2021-04-05,114150
IL,,2021-04-06,112036
IL,,2021-04-07,113276
IL,,2021-04-08,112498
IL,,2021-04-09,117947
IL,,2021-04-10,120591
IL,,2021-04-11,124972
IL,,2021-04-12,128993
IL,,2021-04-13,142676
IL,,2021-04-14,122331
IL,,2021-04-15,123257
IL,,2021-04-16,119725
IL,,2021-04-17,120372
IL,,2021-04-18,118068
IL,,2021-04-19,115774
IL,,2021-04-20,106473
IL,,2021-04-21,124764
IL,,2021-04-22,126092
IL,,2021-04-23,126571
IL,,2021-04-24,121804
IL,,2021-04-25,117426
IL,,2021-04-26,112395
IL,,2021-04-27,110285
IL,,2021-04-28,110229
IL,,2021-04-29,104186
IL,,2021-04-30,100500
IL,,2021-05-01,95862
IL,,2021-05-02,90071
IL,,2021-05-03,84992
IL,,2021-05-04,80149
IL,,2021-05-05,74547
IL,,2021-05-06,74901
IL,,2021-05-07,73768
IL,,2021-05-08,69359
IL,,2021-05-09,72071
IL,,2021-05-10,77187
IL,,2021-05-11,84845
IL,,2021-05-12,87174
IL,,2021-05-13,82029
IL,,2021-05-14,77446
IL,,2021-05-15,78055
Indian Health Svc,,2021-01-13,6075
Indian Health Svc,,2021-01-14,6670
Indian Health Svc,,2021-01-15,7286
Indian Health Svc,,2021-01-16,6333
Indian Health Svc,,2021-01-17,5761
Indian Health Svc,,2021-01-18,5380
Indian Health Svc,,2021-01-19,5108
Indian Health Svc,,2021-01-20,4930
Indian Health Svc,,2021-01-21,5082
Indian Health Svc,,2021-01-22,4756
Indian Health Svc,,2021-01-23,7137
Indian Health Svc,,2021-01-24,8084
Indian Health Svc,,2021-01-25,7838
Indian Health Svc,,2021-01-26,7735
Indian Health Svc,,2021-01-27,8113
Indian Health Svc,,2021-01-28,8990
Indian Health Svc,,2021-01-29,9654
Indian Health Svc,,2021-01-30,7326
Indian Health Svc,,2021-01-31,7995
Indian Health Svc,,2021-02-01,7876
Indian Health Svc,,2021-02-02,7986
Indian Health Svc,,2021-02-03,8333
Indian Health Svc,,2021-02-04,8338
Indian Health Svc,,2021-02-05,7602
Indian Health Svc,,2021-02-06,11586
Indian Health Svc,,2021-02-07,10327
Indian Health Svc,,2021-02-08,11525
Indian Health Svc,,2021-02-09,11885
Indian Health Svc,,2021-02-10,11803
Indian Health Svc,,2021-02-11,12392
Indian Health Svc,,2021-02-12,14664
Indian Health Svc,,2021-02-13,12391
Indian Health Svc,,2021-02-14,13796
Indian Health Svc,,2021-02-15,12944
Indian Health Svc,,2021-02-16,12558
Indian Health Svc,,2021-02-17,12017
Indian Health Svc,,2021-02-18,10883
Indian Health Svc,,2021-02-19,8581
Indian Health Svc,,2021-02-20,7039
Indian Health Svc,,2021-02-21,6774
Indian Health Svc,,2021-02-22,8561
Indian Health Svc,,2021-02-23,10012
Indian Health Svc,,2021-02-24,11113
Indian Health Svc,,2021-02-25,12459
Indian Health Svc,,2021-02-26,15633
Indian Health Svc,,2021-02-27,17872
Indian Health Svc,,2021-02-28,18231
Indian Health Svc,,2021-03-01,18198
Indian Health Svc,,2021-03-02,17477
Indian Health Svc,,2021-03-03,17089
Indian Health Svc,,2021-03-04,16373
Indian Health Svc,,2021-03-05,14899
Indian Health Svc,,2021-03-06,15045
Indian Health Svc,,2021-03-07,14515
Indian Health Svc,,2021-03-08,13820
Indian Health Svc,,2021-03-09,13113
Indian Health Svc,,2021-03-10,13705
Indian Health Svc,,2021-03-11,13399
Indian Health Svc,,2021-03-12,13514
Indian Health Svc,,2021-03-13,12979
Indian Health Svc,,2021-03-14,12964
Indian Health Svc,,2021-03-15,13011
Indian Health Svc,,2021-03-16,14079
Indian Health Svc,,2021-03-17,13877
Indian Health Svc,,2021-03-18,14557
Indian Health Svc,,2021-03-19,14166
Indian Health Svc,,2021-03-20,13505
Indian Health Svc,,2021-03-21,14250
Indian Health Svc,,2021-03-22,14280
Indian Health Svc,,2021-03-23,13150
Indian Health Svc,,2021-03-24,13528
Indian Health Svc,,2021-03-25,12460
Indian Health Svc,,2021-03-26,12743
Indian Health Svc,,2021-03-27,13034
Indian Health Svc,,2021-03-28,13541
Indian Health Svc,,2021-03-29,12681
Indian Health Svc,,2021-03-30,12622
Indian Health Svc,,2021-03-31,12575
Indian Health Svc,,2021-04-01,13441
Indian Health Svc,,2021-04-02,13076
Indian Health Svc,,2021-04-03,12789
Indian Health Svc,,2021-04-04,12202
Indian Health Svc,,2021-04-05,11703
Indian Health Svc,,2021-04-06,11821
Indian Health Svc,,2021-04-07,11213
Indian Health Svc,,2021-04-08,10731
Indian Health Svc,,2021-04-09,10551
Indian Health Svc,,2021-04-10,10609
Indian Health Svc,,2021-04-11,9333
Indian Health Svc,,2021-04-12,9597
Indian Health Svc,,2021-04-13,9774
Indian Health Svc,,2021-04-14,9855
Indian Health Svc,,2021-04-15,9889
Indian Health Svc,,2021-04-16,9727
Indian Health Svc,,2021-04-17,9638
Indian Health Svc,,2021-04-18,9826
Indian Health Svc,,2021-04-19,9501
Indian Health Svc,,2021-04-20,9207
Indian Health Svc,,2021-04-21,8961
Indian Health Svc,,2021-04-22,8388
Indian Health Svc,,2021-04-23,8340
Indian Health Svc,,2021-04-24,7808
Indian Health Svc,,2021-04-25,7820
Indian Health Svc,,2021-04-26,7931
Indian Health Svc,,2021-04-27,7882
Indian Health Svc,,2021-04-28,7806
Indian Health Svc,,2021-04-29,7731
Indian Health Svc,,2021-04-30,6969
Indian Health Svc,,2021-05-01,7137
Indian Health Svc,,2021-05-02,6733
Indian Health Svc,,2021-05-03,6500
Indian Health Svc,,2021-05-04,6429
Indian Health Svc,,2021-05-05,5584
Indian Health Svc,,2021-05-06,5569
Indian Health Svc,,2021-05-07,5335
Indian Health Svc,,2021-05-08,4622
Indian Health Svc,,2021-05-09,4269
Indian Health Svc,,2021-05-10,4294
Indian Health Svc,,2021-05-11,4292
Indian Health Svc,,2021-05-12,4138
Indian Health Svc,,2021-05-13,3899
Indian Health Svc,,2021-05-14,3769
Indian Health Svc,,2021-05-15,3706
IN,,2021-01-13,19490
IN,,2021-01-14,20822
IN,,2021-01-15,22822
IN,,2021-01-16,21765
IN,,2021-01-17,21131
IN,,2021-01-18,20708
IN,,2021-01-19,20406
IN,,2021-01-20,20722
IN,,2021-01-21,21950
IN,,2021-01-22,21974
IN,,2021-01-23,23875
IN,,2021-01-24,21219
IN,,2021-01-25,25109
IN,,2021-01-26,23448
IN,,2021-01-27,23971
IN,,2021-01-28,23572
IN,,2021-01-29,23885
IN,,2021-01-30,23022
IN,,2021-01-31,23022
IN,,2021-02-01,16476
IN,,2021-02-02,16209
IN,,2021-02-03,16224
IN,,2021-02-04,17007
IN,,2021-02-05,18509
IN,,2021-02-06,20369
IN,,2021-02-07,20369
IN,,2021-02-08,20369
IN,,2021-02-09,21254
IN,,2021-02-10,22565
IN,,2021-02-11,22977
IN,,2021-02-12,23240
IN,,2021-02-13,38430
IN,,2021-02-14,44158
IN,,2021-02-15,46507
IN,,2021-02-16,47242
IN,,2021-02-17,45387
IN,,2021-02-18,41992
IN,,2021-02-19,45789
IN,,2021-02-20,30805
IN,,2021-02-21,30138
IN,,2021-02-22,31003
IN,,2021-02-23,29588
IN,,2021-02-24,35377
IN,,2021-02-25,47617
IN,,2021-02-26,44421
IN,,2021-02-27,45361
IN,,2021-02-28,45786
IN,,2021-03-01,46116
IN,,2021-03-02,46529
IN,,2021-03-03,42373
IN,,2021-03-04,34034
IN,,2021-03-05,34798
IN,,2021-03-06,35551
IN,,2021-03-07,36332
IN,,2021-03-08,37786
IN,,2021-03-09,38324
IN,,2021-03-10,39535
IN,,2021-03-11,40220
IN,,2021-03-12,40240
IN,,2021-03-13,46622
IN,,2021-03-14,40366
IN,,2021-03-15,40095
IN,,2021-03-16,39686
IN,,2021-03-17,38939
IN,,2021-03-18,39053
IN,,2021-03-19,39161
IN,,2021-03-20,33398
IN,,2021-03-21,39948
IN,,2021-03-22,39601
IN,,2021-03-23,39527
IN,,2021-03-24,40272
IN,,2021-03-25,41181
IN,,2021-03-26,42033
IN,,2021-03-27,42027
IN,,2021-03-28,41932
IN,,2021-03-29,42471
IN,,2021-03-30,42404
IN,,2021-03-31,42611
IN,,2021-04-01,42829
IN,,2021-04-02,43612
IN,,2021-04-03,45326
IN,,2021-04-04,45201
IN,,2021-04-05,44824
IN,,2021-04-06,44708
IN,,2021-04-07,44677
IN,,2021-04-08,45393
IN,,2021-04-09,46487
IN,,2021-04-10,46967
IN,,2021-04-11,49303
IN,,2021-04-12,51942
IN,,2021-04-13,53452
IN,,2021-04-14,49018
IN,,2021-04-15,50164
IN,,2021-04-16,49494
IN,,2021-04-17,47630
IN,,2021-04-18,46237
IN,,2021-04-19,43085
IN,,2021-04-20,42223
IN,,2021-04-21,45873
IN,,2021-04-22,43159
IN,,2021-04-23,41121
IN,,2021-04-24,39941
IN,,2021-04-25,38649
IN,,2021-04-26,38845
IN,,2021-04-27,39364
IN,,2021-04-28,39636
IN,,2021-04-29,39706
IN,,2021-04-30,40175
IN,,2021-05-01,41097
IN,,2021-05-02,41710
IN,,2021-05-03,40284
IN,,2021-05-04,39356
IN,,2021-05-05,38595
IN,,2021-05-06,38753
IN,,2021-05-07,39467
IN,,2021-05-08,37405
IN,,2021-05-09,36868
IN,,2021-05-10,38203
IN,,2021-05-11,39354
IN,,2021-05-12,38805
IN,,2021-05-13,37315
IN,,2021-05-14,34246
IN,,2021-05-15,34235
IA,,2021-01-13,13402
IA,,2021-01-14,6701
IA,,2021-01-15,7431
IA,,2021-01-16,7071
IA,,2021-01-17,6856
IA,,2021-01-18,6712
IA,,2021-01-19,6609
IA,,2021-01-20,5394
IA,,2021-01-21,6664
IA,,2021-01-22,7089
IA,,2021-01-23,7591
IA,,2021-01-24,8316
IA,,2021-01-25,8177
IA,,2021-01-26,7575
IA,,2021-01-27,7764
IA,,2021-01-28,7679
IA,,2021-01-29,7677
IA,,2021-01-30,8252
IA,,2021-01-31,8717
IA,,2021-02-01,8752
IA,,2021-02-02,8791
IA,,2021-02-03,8940
IA,,2021-02-04,9536
IA,,2021-02-05,9861
IA,,2021-02-06,10093
IA,,2021-02-07,10887
IA,,2021-02-08,12555
IA,,2021-02-09,13183
IA,,2021-02-10,14569
IA,,2021-02-11,15445
IA,,2021-02-12,16457
IA,,2021-02-13,17707
IA,,2021-02-14,18300
IA,,2021-02-15,17966
IA,,2021-02-16,19130
IA,,2021-02-17,18104
IA,,2021-02-18,17183
IA,,2021-02-19,20590
IA,,2021-02-20,20700
IA,,2021-02-21,20425
IA,,2021-02-22,20011
IA,,2021-02-23,18460
IA,,2021-02-24,18033
IA,,2021-02-25,17644
IA,,2021-02-26,14481
IA,,2021-02-27,15317
IA,,2021-02-28,16224
IA,,2021-03-01,17665
IA,,2021-03-02,17969
IA,,2021-03-03,18878
IA,,2021-03-04,20308
IA,,2021-03-05,21006
IA,,2021-03-06,25236
IA,,2021-03-07,27631
IA,,2021-03-08,29315
IA,,2021-03-09,30238
IA,,2021-03-10,30860
IA,,2021-03-11,32297
IA,,2021-03-12,33312
IA,,2021-03-13,36182
IA,,2021-03-14,29727
IA,,2021-03-15,29290
IA,,2021-03-16,28947
IA,,2021-03-17,26501
IA,,2021-03-18,26167
IA,,2021-03-19,27381
IA,,2021-03-20,21607
IA,,2021-03-21,26834
IA,,2021-03-22,25687
IA,,2021-03-23,25535
IA,,2021-03-24,27253
IA,,2021-03-25,26677
IA,,2021-03-26,25226
IA,,2021-03-27,25635
IA,,2021-03-28,26632
IA,,2021-03-29,27085
IA,,2021-03-30,27335
IA,,2021-03-31,27644
IA,,2021-04-01,28372
IA,,2021-04-02,28965
IA,,2021-04-03,34638
IA,,2021-04-04,28462
IA,,2021-04-05,27477
IA,,2021-04-06,27305
IA,,2021-04-07,27502
IA,,2021-04-08,28207
IA,,2021-04-09,28819
IA,,2021-04-10,23760
IA,,2021-04-11,31043
IA,,2021-04-12,31454
IA,,2021-04-13,31747
IA,,2021-04-14,34006
IA,,2021-04-15,33770
IA,,2021-04-16,32510
IA,,2021-04-17,30873
IA,,2021-04-18,28233
IA,,2021-04-19,28420
IA,,2021-04-20,27653
IA,,2021-04-21,25664
IA,,2021-04-22,25022
IA,,2021-04-23,24822
IA,,2021-04-24,24592
IA,,2021-04-25,24866
IA,,2021-04-26,24212
IA,,2021-04-27,24926
IA,,2021-04-28,24260
IA,,2021-04-29,24902
IA,,2021-04-30,24294
IA,,2021-05-01,23814
IA,,2021-05-02,22404
IA,,2021-05-03,22601
IA,,2021-05-04,22154
IA,,2021-05-05,21991
IA,,2021-05-06,20641
IA,,2021-05-07,19911
IA,,2021-05-08,18911
IA,,2021-05-09,18679
IA,,2021-05-10,18240
IA,,2021-05-11,18229
IA,,2021-05-12,17741
IA,,2021-05-13,16717
IA,,2021-05-14,15798
IA,,2021-05-15,14799
KS,,2021-01-13,7382
KS,,2021-01-14,6648
KS,,2021-01-15,6504
KS,,2021-01-16,6169
KS,,2021-01-17,5968
KS,,2021-01-18,5834
KS,,2021-01-19,5738
KS,,2021-01-20,5294
KS,,2021-01-21,5553
KS,,2021-01-22,5616
KS,,2021-01-23,5995
KS,,2021-01-24,6163
KS,,2021-01-25,5921
KS,,2021-01-26,5758
KS,,2021-01-27,6527
KS,,2021-01-28,8552
KS,,2021-01-29,7635
KS,,2021-01-30,8802
KS,,2021-01-31,10031
KS,,2021-02-01,10311
KS,,2021-02-02,10351
KS,,2021-02-03,10395
KS,,2021-02-04,8732
KS,,2021-02-05,10441
KS,,2021-02-06,10533
KS,,2021-02-07,10688
KS,,2021-02-08,10886
KS,,2021-02-09,10625
KS,,2021-02-10,11215
KS,,2021-02-11,11643
KS,,2021-02-12,12445
KS,,2021-02-13,12520
KS,,2021-02-14,13386
KS,,2021-02-15,12932
KS,,2021-02-16,13096
KS,,2021-02-17,12215
KS,,2021-02-18,12129
KS,,2021-02-19,16568
KS,,2021-02-20,17264
KS,,2021-02-21,17050
KS,,2021-02-22,17302
KS,,2021-02-23,17162
KS,,2021-02-24,17963
KS,,2021-02-25,17801
KS,,2021-02-26,13437
KS,,2021-02-27,13537
KS,,2021-02-28,14348
KS,,2021-03-01,15173
KS,,2021-03-02,16024
KS,,2021-03-03,16288
KS,,2021-03-04,16959
